sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.080;57;;60rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;AgentLight@30;BoulwareNegotiationParty@31;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.036;53;;60rounds;Yes;No;2;0.63008;0.71500;0.17546;0.30658;1.34508;Atlas32016@32;BoulwareNegotiationParty@33;0.715;0.6300806389200568;0.715;0.6300806389200568;0.715;0.6300806389200568;0.0;0.0;0.715;0.6300806389200568;party1_utility.xml;party2_utility.xml
0.302;53;;60rounds;Yes;No;2;0.63008;0.71500;0.17546;0.30658;1.34508;Caduceus@34;BoulwareNegotiationParty@35;0.715;0.6300806389200568;0.715;0.6300806389200568;0.715;0.6300806389200568;0.0;0.0;0.715;0.6300806389200568;party1_utility.xml;party2_utility.xml
0.683;59;;60rounds;Yes;No;2;0.34805;0.53500;0.45382;0.63206;0.88305;ClockworkAgent@36;BoulwareNegotiationParty@37;0.535;0.3480456507309718;0.535;0.3480456507309718;0.535;0.3480456507309718;0.0;0.0;0.535;0.3480456507309718;party1_utility.xml;party2_utility.xml
0.041;49;;60rounds;Yes;No;2;0.73828;0.87833;0.00000;0.21194;1.61662;Farma@38;BoulwareNegotiationParty@39;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.0;0.0;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
0.058;50;;60rounds;Yes;No;2;0.73764;0.81500;0.06334;0.19327;1.55264;GrandmaAgent@40;BoulwareNegotiationParty@41;0.8150000000000002;0.7376420875390144;0.8150000000000002;0.7376420875390144;0.8150000000000002;0.7376420875390144;0.0;0.0;0.8150000000000002;0.7376420875390144;party1_utility.xml;party2_utility.xml
0.312;52;;60rounds;Yes;No;2;0.65877;0.87333;0.02746;0.28389;1.53210;MaxOops@42;BoulwareNegotiationParty@43;0.8733333333333333;0.6587701259180746;0.8733333333333333;0.6587701259180746;0.8733333333333333;0.6587701259180746;0.0;0.0;0.8733333333333333;0.6587701259180746;party1_utility.xml;party2_utility.xml
0.036;35;;60rounds;Yes;No;2;0.70917;0.95971;0.02068;0.08198;1.66888;MyAgent@44;BoulwareNegotiationParty@45;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.0;0.0;0.7091666666666667;0.9597117522430285;party1_utility.xml;party2_utility.xml
0.029;3;;60rounds;No;No;0;0.00000;0.00000;1.03604;1.21592;0.00000;Ngent@46;BoulwareNegotiationParty@47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
4.039;58;;60rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;ParsAgent2@48;BoulwareNegotiationParty@49;0.975;0.49464690002105177;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.051;39;;60rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;ParsCat@50;BoulwareNegotiationParty@51;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
